Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,2582160,E,PF,21,MIA,49,2,12.3,2.1,3.8,0.559,0,0,,2.1,3.8,0.559,0.559,1,2,0.505,1.3,2.3,3.6,0.5,0.3,0.5,0.8,1.6,5.3
3,Steven Adams,27528090,W,C,27,NOP,48,48,27.9,3.4,5.6,0.618,0,0.1,0,3.4,5.5,0.625,0.618,1,2.4,0.435,3.9,4.9,8.8,1.9,1,0.7,1.5,2.1,7.9
4,Bam Adebayo,5115492,E,C,23,MIA,46,46,33.5,7.2,12.8,0.563,0,0.2,0.25,7.2,12.7,0.567,0.564,4.6,5.6,0.819,2.4,7.2,9.5,5.4,0.9,1.2,2.6,2.3,19.1
5,LaMarcus Aldridge,19078340,E,F-C,35,BRK,5,5,26,5,9.6,0.521,0.8,1,0.8,4.2,8.6,0.488,0.563,2,2,1,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
5,LaMarcus Aldridge,19078340,W,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7
7,Nickeil Alexander-Walker,3113160,W,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1,1.3,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2
8,Grayson Allen,2545320,W,SG,25,MEM,37,25,24.6,3.5,8.1,0.425,2.1,5.4,0.399,1.3,2.8,0.476,0.556,1.6,1.7,0.906,0.4,2.8,3.2,2.2,1,0.2,0.9,1.5,10.6
9,Jarrett Allen,3909902,E,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen,3909902,E,C,22,CLE,32,21,29.4,5.2,8.3,0.623,0.2,0.4,0.417,5,7.9,0.632,0.632,3.3,4.8,0.684,3,6.7,9.7,1.7,0.4,1.7,1.3,1.5,13.8
10,Al-Farouq Aminu,9720900,E,PF,30,CHI,1,0,12,0,1,0,0,1,0,0,0,,0,2,2,1,0,5,5,0,0,0,2,2,2
10,Al-Farouq Aminu,9720900,E,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1,0.824,1.2,4.2,5.4,1.7,1,0.5,1.5,1.3,5.5
11,Kyle Anderson,9505100,W,PF,27,MEM,48,48,27.3,4.6,9.7,0.476,1.4,3.8,0.368,3.2,5.9,0.546,0.548,2,2.6,0.762,0.7,5.2,5.9,3.5,1.2,0.8,1.3,1.6,12.6
12,Giannis Antetokounmpo,27528090,E,PF,26,MIL,45,45,34,10.4,18.4,0.565,1.1,3.8,0.302,9.3,14.7,0.632,0.595,6.8,9.9,0.687,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8
14,Thanasis Antetokounmpo,1701593,E,SF,28,MIL,40,2,10.7,1.5,2.8,0.545,0.2,0.6,0.304,1.4,2.2,0.607,0.576,0.4,0.9,0.471,1.1,1.4,2.4,0.8,0.4,0.2,0.9,1.4,3.6
